PAP_Description,SD_Code,SD_Description
Asset Preservation - Construction / Upgrading / Rehabilitation of Drainage along National Roads,SD-08,Certification to Justify Request
Asset Preservation - Construction / Upgrading / Rehabilitation of Drainage along National Roads,SD-10,Geotagged Photos
Asset Preservation - Construction / Upgrading / Rehabilitation of Drainage along National Roads,SD-12,Modification Form/Variation Order/Change Order/As-Built Plan
Asset Preservation - Construction / Upgrading / Rehabilitation of Drainage along National Roads,SD-15,Program of Work (POW)
Asset Preservation - Construction / Upgrading / Rehabilitation of Drainage along National Roads,SD-18,ROW Certification
Asset Preservation - Construction / Upgrading / Rehabilitation of Drainage along National Roads,SD-19,Straight Line Diagram (SLD)
Asset Preservation - Construction / Upgrading / Rehabilitation of Drainage along National Roads,SD-23,Detailed Unit Price Analysis
Asset Preservation - Preventive Maintenance,SD-05,Certification for RoCond Updating
Asset Preservation - Preventive Maintenance,SD-10,Geotagged Photos
Asset Preservation - Preventive Maintenance,SD-12,Modification Form/Variation Order/Change Order/As-Built Plan
Asset Preservation - Preventive Maintenance,SD-15,Program of Work (POW)
Asset Preservation - Preventive Maintenance,SD-19,Straight Line Diagram (SLD)
Asset Preservation - Preventive Maintenance,SD-23,Detailed Unit Price Analysis
"Asset Preservation - Rehabilitation/ Reconstruction of Roads with Slips, Slope Collapse, and Landslide",SD-01,Annexes 1-5
"Asset Preservation - Rehabilitation/ Reconstruction of Roads with Slips, Slope Collapse, and Landslide",SD-09,Detailed Engineering Design (DED)/Preliminary Plans
"Asset Preservation - Rehabilitation/ Reconstruction of Roads with Slips, Slope Collapse, and Landslide",SD-10,Geotagged Photos
"Asset Preservation - Rehabilitation/ Reconstruction of Roads with Slips, Slope Collapse, and Landslide",SD-12,Modification Form/Variation Order/Change Order/As-Built Plan
"Asset Preservation - Rehabilitation/ Reconstruction of Roads with Slips, Slope Collapse, and Landslide",SD-15,Program of Work (POW)
"Asset Preservation - Rehabilitation/ Reconstruction of Roads with Slips, Slope Collapse, and Landslide",SD-18,ROW Certification
"Asset Preservation - Rehabilitation/ Reconstruction of Roads with Slips, Slope Collapse, and Landslide",SD-19,Straight Line Diagram (SLD)
"Asset Preservation - Rehabilitation/ Reconstruction of Roads with Slips, Slope Collapse, and Landslide",SD-41,Geotechnical Study
Asset Preservation - Rehabilitation/ Reconstruction/ Upgrading of Damaged Paved Roads,SD-04,Certification for proposed “Raising of Grade”
Asset Preservation - Rehabilitation/ Reconstruction/ Upgrading of Damaged Paved Roads,SD-05,Certification for RoCond Updating
Asset Preservation - Rehabilitation/ Reconstruction/ Upgrading of Damaged Paved Roads,SD-10,Geotagged Photos
Asset Preservation - Rehabilitation/ Reconstruction/ Upgrading of Damaged Paved Roads,SD-12,Modification Form/Variation Order/Change Order/As-Built Plan
Asset Preservation - Rehabilitation/ Reconstruction/ Upgrading of Damaged Paved Roads,SD-15,Program of Work (POW)
Asset Preservation - Rehabilitation/ Reconstruction/ Upgrading of Damaged Paved Roads,SD-19,Straight Line Diagram (SLD)
Asset Preservation - Rehabilitation/ Reconstruction/ Upgrading of Damaged Paved Roads,SD-23,Detailed Unit Price Analysis
Bridge - Construction of New Bridges,SD-09,Detailed Engineering Design (DED)/Preliminary Plans
Bridge - Construction of New Bridges,SD-10,Geotagged Photos
Bridge - Construction of New Bridges,SD-11,Hydraulic and Hydrologic Analysis
Bridge - Construction of New Bridges,SD-15,Program of Work (POW)
Bridge - Construction of New Bridges,SD-17,Project Profile
Bridge - Rehabilitation/ Major Repair of Permanent Bridges,SD-10,Geotagged Photos
Bridge - Rehabilitation/ Major Repair of Permanent Bridges,SD-15,Program of Work (POW)
Bridge - Rehabilitation/ Major Repair of Permanent Bridges,SD-17,Project Profile
Bridge - Replacement of Bridges (Temporary to Permanent),SD-09,Detailed Engineering Design (DED)/Preliminary Plans
Bridge - Replacement of Bridges (Temporary to Permanent),SD-10,Geotagged Photos
Bridge - Replacement of Bridges (Temporary to Permanent),SD-11,Hydraulic and Hydrologic Analysis
Bridge - Replacement of Bridges (Temporary to Permanent),SD-15,Program of Work (POW)
Bridge - Replacement of Bridges (Temporary to Permanent),SD-17,Project Profile
Bridge - Replacement of Permanent Weak Bridges,SD-09,Detailed Engineering Design (DED)/Preliminary Plans
Bridge - Replacement of Permanent Weak Bridges,SD-10,Geotagged Photos
Bridge - Replacement of Permanent Weak Bridges,SD-11,Hydraulic and Hydrologic Analysis
Bridge - Replacement of Permanent Weak Bridges,SD-15,Program of Work (POW)
Bridge - Replacement of Permanent Weak Bridges,SD-17,Project Profile
Bridge - Retrofitting/ Strengthening of Permanent Bridges,SD-10,Geotagged Photos
Bridge - Retrofitting/ Strengthening of Permanent Bridges,SD-15,Program of Work (POW)
Bridge - Retrofitting/ Strengthening of Permanent Bridges,SD-17,Project Profile
Bridge - Widening of Permanent Bridges,SD-10,Geotagged Photos
Bridge - Widening of Permanent Bridges,SD-15,Program of Work (POW)
Bridge - Widening of Permanent Bridges,SD-17,Project Profile
Bridge - Widening of Permanent Bridges,SD-19,Straight Line Diagram (SLD)
Construction/ Maintenance of Flood Mitigation Structures and Drainage Systems,SD-09,Detailed Engineering Design (DED)/Preliminary Plans
Construction/ Maintenance of Flood Mitigation Structures and Drainage Systems,SD-10,Geotagged Photos
Construction/ Maintenance of Flood Mitigation Structures and Drainage Systems,SD-15,Program of Work (POW)
Construction/ Maintenance of Flood Mitigation Structures and Drainage Systems,SD-23,Detailed Unit Price Analysis
Construction/ Maintenance of Flood Mitigation Structures and Drainage Systems,SD-24,RD's Endorsement (Sometimes DEOs submit requests directly to CO)
Construction/ Maintenance of Flood Mitigation Structures and Drainage Systems,SD-25,Project Impact Analysis (PIA)
Construction/ Maintenance of Flood Mitigation Structures and Drainage Systems,SD-26,DPWH Flood Control Checklist
Construction/ Maintenance of Flood Mitigation Structures and Drainage Systems,SD-27,"Certificate of Compliance to D.O. 23, series of 2015"
Construction/ Maintenance of Flood Mitigation Structures and Drainage Systems,SD-28,BP 202 (If SD-17 is different)
Construction/ Maintenance of Flood Mitigation Structures and Drainage Systems,SD-29,Location Map
Construction/ Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers,SD-09,Detailed Engineering Design (DED)/Preliminary Plans
Construction/ Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers,SD-10,Geotagged Photos
Construction/ Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers,SD-15,Program of Work (POW)
Construction/ Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers,SD-20,Technical Study/Evaluation/Feasibility Study/Flood Control Master Plan
Construction/ Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers,SD-23,Detailed Unit Price Analysis
Construction/ Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers,SD-24,RD's Endorsement (Sometimes DEOs submit requests directly to CO)
Construction/ Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers,SD-25,Project Impact Analysis (PIA)
Construction/ Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers,SD-26,DPWH Flood Control Checklist
Construction/ Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers,SD-27,"Certificate of Compliance to D.O. 23, series of 2015"
Construction/ Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers,SD-28,BP 202 (If SD-17 is different)
Construction/ Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers,SD-29,Location Map
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Airports (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-10,Geotagged Photos
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Airports (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-15,Program of Work (POW)
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Airports (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-17,Project Profile
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Airports (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-22,"Outside of the High Hazard Areas, No Build Zones, and Protected Areas Certification"
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Airports (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-37,Consolidated Right of Way Availability (ROWA)
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Airports (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-40,MYCPPM (Multi-Year Convergence Program Project Matrix)
Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Declared Tourism Destinations (Tourism Road Infrastructure Program - TRIP),SD-10,Geotagged Photos
Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Declared Tourism Destinations (Tourism Road Infrastructure Program - TRIP),SD-15,Program of Work (POW)
Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Declared Tourism Destinations (Tourism Road Infrastructure Program - TRIP),SD-17,Project Profile
Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Declared Tourism Destinations (Tourism Road Infrastructure Program - TRIP),SD-22,"Outside of the High Hazard Areas, No Build Zones, and Protected Areas Certification"
Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Declared Tourism Destinations (Tourism Road Infrastructure Program - TRIP),SD-37,Consolidated Right of Way Availability (ROWA)
Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Declared Tourism Destinations (Tourism Road Infrastructure Program - TRIP),SD-40,MYCPPM (Multi-Year Convergence Program Project Matrix)
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Railway Stations (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-10,Geotagged Photos
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Railway Stations (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-15,Program of Work (POW)
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Railway Stations (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-17,Project Profile
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Railway Stations (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-22,"Outside of the High Hazard Areas, No Build Zones, and Protected Areas Certification"
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Railway Stations (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-37,Consolidated Right of Way Availability (ROWA)
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Railway Stations (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-40,MYCPPM (Multi-Year Convergence Program Project Matrix)
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Seaports (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-10,Geotagged Photos
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Seaports (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-15,Program of Work (POW)
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Seaports (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-17,Project Profile
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Seaports (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-22,"Outside of the High Hazard Areas, No Build Zones, and Protected Areas Certification"
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Seaports (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-37,Consolidated Right of Way Availability (ROWA)
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Seaports (Kalsada Tungo sa Paliparan, Riles at Daungan Program - KATUPARAN)",SD-40,MYCPPM (Multi-Year Convergence Program Project Matrix)
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Trades, Industries and Economic Zones (Roads Leveraging Linkages for Industry and Trade Infrastructure Program - ROLL-IT)",SD-10,Geotagged Photos
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Trades, Industries and Economic Zones (Roads Leveraging Linkages for Industry and Trade Infrastructure Program - ROLL-IT)",SD-15,Program of Work (POW)
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Trades, Industries and Economic Zones (Roads Leveraging Linkages for Industry and Trade Infrastructure Program - ROLL-IT)",SD-17,Project Profile
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Trades, Industries and Economic Zones (Roads Leveraging Linkages for Industry and Trade Infrastructure Program - ROLL-IT)",SD-22,"Outside of the High Hazard Areas, No Build Zones, and Protected Areas Certification"
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Trades, Industries and Economic Zones (Roads Leveraging Linkages for Industry and Trade Infrastructure Program - ROLL-IT)",SD-37,Consolidated Right of Way Availability (ROWA)
"Convergence and Special Support Program - Construction/ Improvement of Access Roads leading to Trades, Industries and Economic Zones (Roads Leveraging Linkages for Industry and Trade Infrastructure Program - ROLL-IT)",SD-40,MYCPPM (Multi-Year Convergence Program Project Matrix)
Convergence and Special Support Program - Construction/Improvement of Various Infrastructures in Support of National Security (Tatag ng Imprastraktura para sa Kapayapaan at Seguridad Program - TIKAS),SD-10,Geotagged Photos
Convergence and Special Support Program - Construction/Improvement of Various Infrastructures in Support of National Security (Tatag ng Imprastraktura para sa Kapayapaan at Seguridad Program - TIKAS),SD-15,Program of Work (POW)
Convergence and Special Support Program - Construction/Improvement of Various Infrastructures in Support of National Security (Tatag ng Imprastraktura para sa Kapayapaan at Seguridad Program - TIKAS),SD-17,Project Profile
Convergence and Special Support Program - Construction/Improvement of Various Infrastructures in Support of National Security (Tatag ng Imprastraktura para sa Kapayapaan at Seguridad Program - TIKAS),SD-22,"Outside of the High Hazard Areas, No Build Zones, and Protected Areas Certification"
Convergence and Special Support Program - Construction/Improvement of Various Infrastructures in Support of National Security (Tatag ng Imprastraktura para sa Kapayapaan at Seguridad Program - TIKAS),SD-34,Consolidated Transmittal Letter/Cover Memorandum
Convergence and Special Support Program - Construction/Improvement of Various Infrastructures in Support of National Security (Tatag ng Imprastraktura para sa Kapayapaan at Seguridad Program - TIKAS),SD-35,Certification on the Importance to National Security and Development
Convergence and Special Support Program - Construction/Improvement of Various Infrastructures in Support of National Security (Tatag ng Imprastraktura para sa Kapayapaan at Seguridad Program - TIKAS),SD-36,Technical Necessity Certification
Convergence and Special Support Program - Construction/Improvement of Various Infrastructures in Support of National Security (Tatag ng Imprastraktura para sa Kapayapaan at Seguridad Program - TIKAS),SD-37,Consolidated Right of Way Availability (ROWA)
Convergence and Special Support Program - Construction/Improvement of Various Infrastructures in Support of National Security (Tatag ng Imprastraktura para sa Kapayapaan at Seguridad Program - TIKAS),SD-38,Individual Project Briefer
Convergence and Special Support Program - Construction/Improvement of Various Infrastructures in Support of National Security (Tatag ng Imprastraktura para sa Kapayapaan at Seguridad Program - TIKAS),SD-39,Certification of No Double Funding
Convergence and Special Support Program - Construction/Improvement of Various Infrastructures in Support of National Security (Tatag ng Imprastraktura para sa Kapayapaan at Seguridad Program - TIKAS),SD-40,MYCPPM (Multi-Year Convergence Program Project Matrix)
Convergence and Special Support Program - Improvement of Capacity of Provincial Bridges along Provincial Roads (Provincial Bridges for Economic Development - PROBRED),SD-10,Geotagged Photos
Convergence and Special Support Program - Improvement of Capacity of Provincial Bridges along Provincial Roads (Provincial Bridges for Economic Development - PROBRED),SD-15,Program of Work (POW)
Convergence and Special Support Program - Improvement of Capacity of Provincial Bridges along Provincial Roads (Provincial Bridges for Economic Development - PROBRED),SD-17,Project Profile
Convergence and Special Support Program - Improvement of Capacity of Provincial Bridges along Provincial Roads (Provincial Bridges for Economic Development - PROBRED),SD-22,"Outside of the High Hazard Areas, No Build Zones, and Protected Areas Certification"
Convergence and Special Support Program - Improvement of Capacity of Provincial Bridges along Provincial Roads (Provincial Bridges for Economic Development - PROBRED),SD-37,Consolidated Right of Way Availability (ROWA)
Convergence and Special Support Program - Improvement of Capacity of Provincial Bridges along Provincial Roads (Provincial Bridges for Economic Development - PROBRED),SD-40,MYCPPM (Multi-Year Convergence Program Project Matrix)
Network Development - Construction of By-Pass and Diversion Roads,SD-09,Detailed Engineering Design (DED)/Preliminary Plans
Network Development - Construction of By-Pass and Diversion Roads,SD-12,Modification Form/Variation Order/Change Order/As-Built Plan
Network Development - Construction of By-Pass and Diversion Roads,SD-15,Program of Work (POW)
Network Development - Construction of By-Pass and Diversion Roads,SD-17,Project Profile
Network Development - Construction of By-Pass and Diversion Roads,SD-18,ROW Certification
Network Development - Construction of By-Pass and Diversion Roads,SD-20,Technical Study/Evaluation/Feasibility Study/Flood Control Master Plan
Network Development - Construction of By-Pass and Diversion Roads,SD-22,"Outside of the High Hazard Areas, No Build Zones, and Protected Areas Certification"
Network Development - Construction of Flyovers/ Interchanges/ Underpasses/ Long Span Bridges,SD-09,Detailed Engineering Design (DED)/Preliminary Plans
Network Development - Construction of Flyovers/ Interchanges/ Underpasses/ Long Span Bridges,SD-12,Modification Form/Variation Order/Change Order/As-Built Plan
Network Development - Construction of Flyovers/ Interchanges/ Underpasses/ Long Span Bridges,SD-15,Program of Work (POW)
Network Development - Construction of Flyovers/ Interchanges/ Underpasses/ Long Span Bridges,SD-17,Project Profile
Network Development - Construction of Flyovers/ Interchanges/ Underpasses/ Long Span Bridges,SD-18,ROW Certification
Network Development - Construction of Flyovers/ Interchanges/ Underpasses/ Long Span Bridges,SD-20,Technical Study/Evaluation/Feasibility Study/Flood Control Master Plan
Network Development - Construction of Flyovers/ Interchanges/ Underpasses/ Long Span Bridges,SD-22,"Outside of the High Hazard Areas, No Build Zones, and Protected Areas Certification"
Network Development - Construction of Missing Links/ New Roads,SD-09,Detailed Engineering Design (DED)/Preliminary Plans
Network Development - Construction of Missing Links/ New Roads,SD-12,Modification Form/Variation Order/Change Order/As-Built Plan
Network Development - Construction of Missing Links/ New Roads,SD-15,Program of Work (POW)
Network Development - Construction of Missing Links/ New Roads,SD-17,Project Profile
Network Development - Construction of Missing Links/ New Roads,SD-18,ROW Certification
Network Development - Construction of Missing Links/ New Roads,SD-20,Technical Study/Evaluation/Feasibility Study/Flood Control Master Plan
Network Development - Construction of Missing Links/ New Roads,SD-22,"Outside of the High Hazard Areas, No Build Zones, and Protected Areas Certification"
Network Development - Off-Carriageway Improvement,SD-12,Modification Form/Variation Order/Change Order/As-Built Plan
Network Development - Off-Carriageway Improvement,SD-15,Program of Work (POW)
Network Development - Off-Carriageway Improvement,SD-17,Project Profile
Network Development - Off-Carriageway Improvement,SD-18,ROW Certification
Network Development - Off-Carriageway Improvement,SD-19,Straight Line Diagram (SLD)
Network Development - Paving of Unpaved Roads,SD-10,Geotagged Photos
Network Development - Paving of Unpaved Roads,SD-12,Modification Form/Variation Order/Change Order/As-Built Plan
Network Development - Paving of Unpaved Roads,SD-15,Program of Work (POW)
Network Development - Paving of Unpaved Roads,SD-19,Straight Line Diagram (SLD)
Network Development - Road Widening,SD-07,Certification of No Widening
Network Development - Road Widening,SD-10,Geotagged Photos
Network Development - Road Widening,SD-12,Modification Form/Variation Order/Change Order/As-Built Plan
Network Development - Road Widening,SD-15,Program of Work (POW)
Network Development - Road Widening,SD-17,Project Profile
Network Development - Road Widening,SD-18,ROW Certification
Network Development - Road Widening,SD-19,Straight Line Diagram (SLD)
Special Road Fund - Motor Vehicle Users Charge (MVUC) as per R.A. 11239,SD-09,Detailed Engineering Design (DED)/Preliminary Plans
Special Road Fund - Motor Vehicle Users Charge (MVUC) as per R.A. 11239,SD-10,Geotagged Photos
Special Road Fund - Motor Vehicle Users Charge (MVUC) as per R.A. 11239,SD-15,Program of Work (POW)
Special Road Fund - Motor Vehicle Users Charge (MVUC) as per R.A. 11239,SD-17,Project Profile
Special Road Fund - Motor Vehicle Users Charge (MVUC) as per R.A. 11239,SD-18,ROW Certification
Special Road Fund - Motor Vehicle Users Charge (MVUC) as per R.A. 11239,SD-23,Detailed Unit Price Analysis
Special Road Fund - Motor Vehicle Users Charge (MVUC) as per R.A. 11239,SD-31,Road Safety Reports
Special Road Fund - Motor Vehicle Users Charge (MVUC) as per R.A. 11239,SD-32,MOA with LGU
Special Road Fund - Motor Vehicle Users Charge (MVUC) as per R.A. 11239,SD-33,Canvass of Materials
Special Road Fund - Motor Vehicle Users Charge (MVUC) as per R.A. 11239,SD-41,Geotechnical Study